DailyStep;steps;duration [s];distance [m];calories [kcal];floors [min. high three meter];weekDayIndex
2021-08-24 00:00:00 +0000;12665;18379;8448.9;376;40;3
2021-08-25 00:00:00 +0000;9361;10223;6378.5;284;11;4
2021-08-26 00:00:00 +0000;3215;3993;2257.9;101;13;5
2021-08-27 00:00:00 +0000;4524;4797;2964.0;132;10;6
2021-08-28 00:00:00 +0000;6714;12789;4751.2;212;1;7
2021-08-29 00:00:00 +0000;1988;2442;1316.2;59;0;1
2021-08-30 00:00:00 +0000;16637;21705;11920.0;676;18;2
2021-08-31 00:00:00 +0000;21485;28380;14735.3;835;19;3
2021-09-01 00:00:00 +0000;16996;18552;11484.7;651;17;0
2021-09-02 00:00:00 +0000;16503;20094;11354.2;644;14;0
2021-09-03 00:00:00 +0000;2189;3070;1499.6;85;1;0
2021-09-04 00:00:00 +0000;2550;3695;1684.0;95;0;0
2021-09-05 00:00:00 +0000;1666;2555;1066.7;60;5;0
2021-09-06 00:00:00 +0000;5882;5958;3790.4;215;15;0
2021-09-07 00:00:00 +0000;4888;6771;3286.5;186;20;0
2021-09-08 00:00:00 +0000;13;75;10.5;1;0;0
2021-09-09 00:00:00 +0000;4142;5458;2792.5;158;12;0
2021-09-10 00:00:00 +0000;19244;26930;13496.3;765;20;0
2021-09-11 00:00:00 +0000;5226;3810;3588.1;203;0;0
2021-09-12 00:00:00 +0000;0;0;0.0;0;0;0
2021-09-13 00:00:00 +0000;9192;9370;6256.7;355;15;0
2021-09-14 00:00:00 +0000;5595;5314;3766.4;214;26;0
2021-09-15 00:00:00 +0000;6436;7390;4537.9;257;20;0
2021-09-16 00:00:00 +0000;6289;7610;4310.5;244;13;0
2021-09-17 00:00:00 +0000;6748;12267;4940.5;280;2;0
2021-09-18 00:00:00 +0000;335;2366;204.1;12;1;0
2021-09-19 00:00:00 +0000;346;1544;229.9;13;1;0
2021-09-20 00:00:00 +0000;6237;6533;4083.2;232;17;0
2021-09-21 00:00:00 +0000;7528;10514;5050.0;286;15;0
2021-09-22 00:00:00 +0000;6783;6917;4412.6;250;19;0
2021-09-23 00:00:00 +0000;11275;12145;8334.7;473;23;0
2021-09-24 00:00:00 +0000;7975;14070;5397.2;306;4;0
2021-09-25 00:00:00 +0000;5111;11336;3582.9;203;3;0
2021-09-26 00:00:00 +0000;8;57;3.8;0;0;0
2021-09-27 00:00:00 +0000;4483;4388;3109.2;176;15;0
2021-09-28 00:00:00 +0000;6877;7311;4887.4;277;20;0
2021-09-29 00:00:00 +0000;4747;4852;3237.0;184;24;0
2021-09-30 00:00:00 +0000;8;11;3.9;0;0;0
2021-10-01 00:00:00 +0000;5855;9191;4138.7;235;10;0
2021-10-01 00:00:00 +0000;0;0;0.0;0;0;0
2021-10-02 00:00:00 +0000;24;414;13.5;1;0;0
2021-10-03 00:00:00 +0000;36;455;23.4;1;0;0
2021-10-04 00:00:00 +0000;5914;6447;3812.4;216;15;0
2021-10-05 00:00:00 +0000;7429;7641;4849.7;275;19;0
2021-10-06 00:00:00 +0000;4121;5597;2812.5;159;18;0
2021-10-07 00:00:00 +0000;8762;9493;5766.3;327;21;0
2021-10-08 00:00:00 +0000;15846;20464;11304.9;641;17;0
2021-10-09 00:00:00 +0000;11082;16606;8016.8;455;7;0
2021-10-10 00:00:00 +0000;67;258;53.5;3;0;0
2021-10-11 00:00:00 +0000;4607;5022;3000.9;170;12;0
2021-10-12 00:00:00 +0000;7198;7440;4917.7;279;18;0
2021-10-13 00:00:00 +0000;9952;11599;6887.7;391;18;0
2021-10-14 00:00:00 +0000;4752;5983;3297.0;187;7;0
2021-10-15 00:00:00 +0000;7180;14571;5090.2;289;0;0
2021-10-16 00:00:00 +0000;4019;11133;2696.7;153;1;0
2021-10-17 00:00:00 +0000;5350;12950;3691.8;209;0;0
2021-10-17 00:00:00 +0000;0;0;0.0;0;0;1
2021-10-18 00:00:00 +0000;0;0;0.0;0;0;2
2021-10-19 00:00:00 +0000;0;0;0.0;0;0;3
2021-10-20 00:00:00 +0000;0;0;0.0;0;0;4
2021-10-21 00:00:00 +0000;4396;6141;2859.7;162;1;5
2021-10-22 00:00:00 +0000;5619;7357;3559.9;202;1;6
2021-10-23 00:00:00 +0000;120;310;74.8;4;0;7
2021-10-24 00:00:00 +0000;840;3865;540.4;31;0;1
2021-10-25 00:00:00 +0000;6166;5415;4421.9;251;18;2
2021-10-26 00:00:00 +0000;5664;8298;3827.1;217;28;3
2021-10-27 00:00:00 +0000;218;977;136.4;8;0;4
2021-10-28 00:00:00 +0000;5488;6995;3773.3;214;17;5
2021-10-29 00:00:00 +0000;15856;19595;10732.5;609;20;6
2021-10-30 00:00:00 +0000;7571;17118;5057.5;287;5;7
2021-10-31 00:00:00 +0000;4439;6715;2927.5;166;13;1
